timestamp,x,y,z
0,2.54,-9.37,-0.8
10,2.65,-9.29,-0.52
20,2.64,-9.38,-0.61
30,3.05,-9.64,-0.62
40,3.07,-9.75,-0.64
50,3.13,-9.82,-0.81
60,2.95,-9.69,-0.94
70,2.78,-9.61,-0.91
80,2.78,-9.52,-0.91
90,2.92,-9.55,-0.66
100,3.06,-9.64,-0.65
110,3.11,-9.68,-0.59
120,3.12,-9.69,-0.64
130,3.09,-9.69,-0.7
140,3.1,-9.7,-0.67
150,3.15,-9.71,-0.59
160,3.12,-9.66,-0.54
170,3.06,-9.57,-0.5
180,3.05,-9.51,-0.52
190,3.15,-9.39,-0.44
200,3.1,-9.29,-0.36
210,2.99,-9.19,-0.36
220,2.89,-9.03,-0.26
230,2.86,-9.0,-0.29
240,2.91,-9.1,-0.42
250,2.8,-9.09,-0.54
260,2.62,-8.96,-0.61
270,2.56,-8.82,-0.61
280,2.59,-8.73,-0.51
290,2.7,-8.61,-0.46
300,2.76,-8.56,-0.38
310,2.84,-8.52,-0.32
320,2.81,-8.46,-0.29
330,2.81,-8.37,-0.28
340,2.76,-8.33,-0.28
350,2.9,-8.31,-0.4
360,3.27,-8.39,-0.66
370,3.66,-8.55,-0.91
380,4.27,-8.78,-1.12
390,4.89,-8.99,-1.21
400,5.37,-9.12,-1.11
410,5.7,-9.12,-0.96
420,5.85,-9.01,-0.72
430,5.9,-8.84,-0.45
440,5.98,-8.71,-0.22
450,5.93,-8.56,-0.26
460,5.71,-8.4,-0.4
470,5.46,-8.17,-0.49
480,5.11,-7.85,-0.57
490,4.77,-7.43,-0.57
500,4.53,-7.0,-0.49
510,4.43,-6.62,-0.4
520,4.41,-6.37,-0.36
530,4.49,-6.16,-0.45
540,4.53,-5.82,-0.5
550,4.58,-5.34,-0.54
560,4.89,-4.93,-0.55
570,5.17,-4.61,-0.57
580,5.66,-4.43,-0.85
590,6.29,-4.32,-1.17
600,7.04,-4.18,-1.64
610,7.81,-3.86,-2.09
620,8.64,-3.55,-2.21
630,9.58,-3.25,-2.09
640,10.52,-2.94,-1.93
650,11.57,-2.83,-1.56
660,12.7,-2.75,-1.13
670,13.84,-2.25,-0.88
680,14.55,-1.52,-0.74
690,14.88,-0.91,-0.75
700,14.64,-0.64,-0.82
710,14.23,-0.62,-0.95
720,13.68,-0.39,-1.09
730,12.83,0.21,-1.34
740,12.18,1.42,-1.3
750,11.52,2.74,-1.04
760,10.23,3.59,-0.41
770,8.52,4.0,-0.18
780,7.39,4.21,-0.62
790,6.83,4.39,-1.31
800,7.07,4.85,-2.19
810,7.39,5.04,-2.58
820,8.3,5.09,-2.93
830,9.67,5.36,-3.11
840,11.43,5.81,-2.94
850,12.75,6.18,-2.41
860,13.43,6.38,-1.63
870,13.39,6.61,-1.0
880,12.97,6.78,-0.9
890,11.9,6.82,-0.99
900,11.2,6.64,-1.37
910,10.07,6.47,-1.52
920,9.21,6.45,-1.76
930,8.69,6.54,-1.85
940,8.46,6.84,-1.94
950,8.22,7.0,-1.95
960,8.04,6.84,-2.17
970,7.99,6.64,-2.28
980,8.31,6.56,-2.21
990,8.44,6.61,-2.15
1000,8.88,6.57,-2.2
