timestamp,x,y,z
0,3.52,-8.71,0.01
10,3.76,-8.99,-0.11
20,4.35,-9.24,-0.16
30,4.54,-9.34,-0.19
40,4.44,-9.45,-0.37
50,4.27,-9.49,-0.26
60,4.01,-9.45,-0.29
70,3.93,-9.43,-0.2
80,3.94,-9.41,-0.04
90,4.08,-9.42,0.13
100,4.12,-9.49,0.13
110,4.14,-9.51,0.13
120,4.13,-9.51,0.07
130,4.06,-9.48,0.04
140,4.14,-9.47,0.04
150,4.27,-9.45,0.11
160,4.37,-9.41,0.14
170,4.39,-9.41,0.11
180,4.45,-9.37,0.12
190,4.6,-9.31,0.12
200,4.52,-9.19,0.24
210,4.43,-9.11,0.31
220,4.31,-9.06,0.36
230,4.26,-9.13,0.17
240,4.27,-9.2,0.1
250,4.08,-9.2,0.04
260,4.0,-9.17,0.0
270,3.87,-9.08,0.0
280,3.82,-8.99,0.02
290,3.81,-8.94,0.02
300,3.76,-8.89,-0.02
310,3.75,-8.85,-0.04
320,3.66,-8.77,-0.08
330,3.65,-8.68,-0.07
340,3.75,-8.67,-0.04
350,3.93,-8.74,-0.03
360,4.06,-8.77,-0.1
370,4.05,-8.77,-0.09
380,3.89,-8.67,-0.08
390,3.7,-8.56,-0.03
400,3.64,-8.42,0.0
410,3.77,-8.41,0.01
420,4.02,-8.56,-0.05
430,4.12,-8.66,-0.11
440,4.13,-8.62,-0.13
450,4.29,-8.49,-0.09
460,4.44,-8.32,0.08
470,4.61,-8.1,0.19
480,4.8,-7.91,0.26
490,5.03,-7.75,0.3
500,5.15,-7.67,0.38
510,5.2,-7.62,0.45
520,5.29,-7.49,0.47
530,5.09,-7.26,0.53
540,5.09,-7.03,0.62
550,5.05,-6.74,0.71
560,5.12,-6.54,0.77
570,5.1,-6.39,0.78
580,5.26,-6.35,0.59
590,5.28,-6.34,0.3
600,5.95,-6.52,-0.02
610,6.64,-6.51,-0.27
620,7.23,-6.48,-0.62
630,7.78,-6.46,-0.7
640,8.21,-6.36,-0.77
650,8.59,-6.25,-0.71
660,8.88,-6.14,-0.58
670,9.14,-6.06,-0.39
680,9.61,-5.99,-0.43
690,10.17,-5.9,-0.39
700,10.59,-5.66,-0.3
710,10.8,-5.35,-0.32
720,10.98,-4.98,-0.28
730,11.12,-4.54,-0.15
740,11.18,-3.98,0.18
750,10.93,-3.27,0.4
760,10.83,-2.27,0.3
770,10.35,-1.31,0.77
780,10.05,-0.52,0.63
790,9.4,0.39,0.25
800,8.85,1.13,0.12
810,8.1,2.01,-0.09
820,7.26,2.91,-0.25
830,7.27,4.04,-0.23
840,7.21,5.12,-0.55
850,7.52,6.1,-0.71
860,7.46,6.78,-0.52
870,7.55,6.87,-0.39
880,8.07,6.58,-0.54
890,8.93,6.46,-0.97
900,10.05,6.51,-1.41
910,11.31,6.57,-1.38
920,12.27,6.73,-1.11
930,12.9,6.73,-0.84
940,13.28,6.57,-0.82
950,12.82,6.81,-0.74
960,12.42,6.61,-0.72
970,11.68,6.55,-0.77
980,10.9,6.45,-0.84
990,10.06,6.47,-1.17
1000,9.4,6.51,-1.52
