timestamp,x,y,z
0,4.62,-8.45,-0.58
10,4.85,-8.36,-0.47
20,4.64,-8.67,-0.65
30,4.76,-9.03,-1.0
40,4.86,-9.29,-1.01
50,4.8,-9.34,-1.28
60,4.73,-9.41,-1.17
70,4.68,-9.48,-1.09
80,4.9,-9.39,-0.9
90,5.27,-9.35,-0.71
100,5.42,-9.32,-0.62
110,5.32,-9.34,-0.56
120,5.17,-9.36,-0.67
130,5.1,-9.29,-0.72
140,5.12,-9.26,-0.66
150,5.11,-9.19,-0.62
160,5.06,-9.13,-0.58
170,4.87,-9.02,-0.64
180,4.71,-8.86,-0.55
190,4.55,-8.79,-0.53
200,4.54,-8.77,-0.51
210,4.62,-8.7,-0.35
220,4.72,-8.65,-0.27
230,4.74,-8.64,-0.31
240,4.68,-8.66,-0.4
250,4.54,-8.66,-0.56
260,4.42,-8.57,-0.59
270,4.16,-8.48,-0.71
280,4.35,-8.53,-0.77
290,4.35,-8.55,-0.78
300,4.33,-8.47,-0.86
310,4.29,-8.4,-0.92
320,4.2,-8.4,-0.86
330,4.15,-8.41,-0.82
340,4.15,-8.38,-0.82
350,4.03,-8.3,-0.85
360,3.96,-8.17,-0.87
370,3.78,-8.09,-0.73
380,3.64,-7.94,-0.71
390,3.51,-7.78,-0.57
400,3.48,-7.62,-0.63
410,3.72,-7.61,-0.63
420,3.95,-7.59,-0.68
430,4.09,-7.53,-0.61
440,4.55,-7.28,-0.73
450,4.75,-7.01,-0.76
460,5.44,-6.96,-0.93
470,5.83,-7.1,-0.99
480,6.14,-7.18,-1.06
490,6.49,-7.17,-1.16
500,6.63,-7.04,-1.17
510,6.86,-6.91,-1.17
520,7.15,-6.78,-0.96
530,7.35,-6.59,-0.83
540,7.64,-6.47,-0.95
550,7.71,-6.37,-0.96
560,7.94,-6.48,-0.9
570,8.17,-6.61,-0.76
580,8.25,-6.68,-0.69
590,8.32,-6.85,-0.68
600,8.45,-6.95,-0.71
610,8.75,-7.01,-0.59
620,9.45,-7.18,-0.46
630,10.36,-7.38,-0.46
640,10.52,-7.32,-0.46
650,10.93,-7.09,-0.64
660,11.15,-6.69,-0.75
670,11.26,-6.11,-0.84
680,11.29,-5.55,-0.92
690,11.22,-4.85,-1.0
700,10.78,-4.16,-1.38
710,10.01,-3.25,-1.47
720,8.93,-1.75,-1.49
730,8.19,-0.69,-1.7
740,7.69,0.03,-1.83
750,7.57,0.68,-1.67
760,7.69,1.42,-1.3
770,7.97,2.29,-0.92
780,8.13,2.98,-0.61
790,8.32,3.29,-0.75
800,8.72,3.74,-0.96
810,9.25,4.41,-1.04
820,10.38,5.3,-1.37
830,11.22,5.92,-1.75
840,11.49,6.23,-2.18
850,11.59,6.14,-2.41
860,11.66,6.04,-2.36
870,11.88,6.17,-2.49
880,12.3,6.27,-2.67
890,12.52,6.09,-2.81
900,12.1,5.75,-2.49
910,11.38,5.3,-2.19
920,10.78,4.98,-2.09
930,10.33,4.98,-2.18
940,10.09,5.08,-2.21
950,9.88,5.24,-1.98
960,9.6,5.35,-1.59
970,9.34,5.36,-1.36
980,9.17,5.31,-1.38
990,9.05,5.33,-1.43
1000,9.09,5.39,-1.56
