timestamp,x,y,z
0,-0.9,-8.89,0.35
10,-0.46,-8.85,0.75
20,-0.4,-8.97,0.4
30,-0.19,-9.01,0.33
40,0.23,-8.77,0.2
50,0.21,-8.41,-0.19
60,0.26,-8.11,0.02
70,1.17,-7.87,0.07
80,5.15,-7.79,-0.96
90,-1.28,-7.6,0.08
100,1.67,-7.88,0.0
110,2.62,-7.74,-0.39
120,3.12,-7.93,-0.15
130,3.47,-7.95,-0.15
140,3.49,-8.0,-0.01
150,3.36,-8.1,-0.13
160,3.02,-8.14,-0.1
170,2.6,-8.19,-0.13
180,2.38,-8.24,0.05
190,2.61,-8.61,0.12
200,2.38,-8.83,0.2
210,2.44,-9.13,0.21
220,2.88,-9.57,0.2
230,3.28,-9.88,0.22
240,3.79,-10.31,0.41
250,4.27,-10.67,0.52
260,4.6,-10.93,0.5
270,4.67,-10.93,0.38
280,4.53,-10.6,0.14
290,4.68,-10.27,0.04
300,5.04,-9.84,-0.22
310,5.42,-9.35,-0.5
320,5.85,-8.94,-0.56
330,6.4,-8.69,-0.57
340,6.68,-8.07,-0.85
350,6.61,-7.41,-1.06
360,6.25,-6.52,-1.36
370,6.42,-5.73,-0.87
380,7.17,-5.34,-0.46
390,8.28,-5.02,-0.47
400,8.73,-4.26,-0.76
410,8.39,-3.11,-1.16
420,8.14,-1.96,-1.37
430,8.3,-1.33,-1.57
440,8.35,-1.42,-1.16
450,8.76,-1.31,-0.52
460,9.37,-0.85,-0.15
470,9.7,-0.24,-0.28
480,9.85,0.39,-0.37
490,10.18,0.75,-0.84
500,10.76,1.03,-1.75
510,11.17,1.4,-2.12
520,12.09,1.71,-1.49
530,13.19,2.16,-0.68
540,13.27,2.82,-0.41
550,12.91,3.16,-1.09
560,12.62,3.34,-1.77
570,12.32,3.64,-2.1
580,12.08,4.02,-2.19
590,11.8,4.35,-2.32
600,11.35,4.49,-2.16
610,10.85,4.55,-1.96
620,10.49,4.73,-1.96
630,10.14,5.13,-2.19
640,10.25,5.5,-2.22
650,10.39,5.88,-2.37
660,10.34,5.86,-2.42
670,10.33,5.53,-2.38
680,10.06,5.31,-2.24
690,9.97,5.27,-2.06
700,10.09,5.14,-2.1
710,10.27,4.98,-2.14
720,10.51,4.82,-2.15
730,10.65,4.65,-2.14
740,10.77,4.44,-2.07
750,10.88,4.24,-2.01
760,10.96,4.09,-1.97
770,10.98,4.15,-2.04
780,10.99,4.16,-1.95
790,11.09,4.18,-1.9
800,11.3,4.24,-1.85
810,11.58,4.36,-1.82
820,11.81,4.38,-1.94
830,11.94,4.28,-2.1
840,11.95,4.2,-2.13
850,11.91,4.09,-2.06
860,11.71,3.95,-1.93
870,11.44,3.81,-1.87
880,11.24,3.6,-1.75
890,11.11,3.38,-1.69
900,11.02,3.2,-1.7
910,10.83,2.92,-1.66
920,10.78,2.6,-1.43
930,10.77,2.28,-1.25
940,10.73,1.88,-1.18
950,10.76,1.44,-1.21
960,10.78,1.06,-1.27
970,10.64,0.73,-1.21
980,10.52,0.32,-1.2
990,10.48,-0.11,-1.25
1000,10.41,-0.43,-1.3
