timestamp,x,y,z
0,3.41,-9.52,-0.19
10,3.31,-9.7,-0.38
20,3.15,-9.75,-0.61
30,3.11,-9.66,-0.67
40,3.17,-9.67,-0.61
50,3.14,-9.63,-0.52
60,3.23,-9.59,-0.42
70,3.28,-9.65,-0.44
80,3.26,-9.75,-0.45
90,3.23,-9.86,-0.43
100,3.22,-9.92,-0.43
110,3.21,-9.93,-0.37
120,3.25,-9.9,-0.34
130,3.35,-9.85,-0.23
140,3.46,-9.83,-0.15
150,3.51,-9.84,-0.11
160,3.46,-9.81,-0.08
170,3.39,-9.74,-0.07
180,3.42,-9.72,-0.03
190,3.34,-9.64,-0.03
200,3.34,-9.52,0.01
210,3.32,-9.45,0.04
220,3.27,-9.41,0.02
230,3.26,-9.37,0.0
240,3.17,-9.38,-0.09
250,3.1,-9.41,-0.19
260,3.05,-9.39,-0.23
270,2.99,-9.31,-0.29
280,2.87,-9.2,-0.27
290,2.83,-9.14,-0.27
300,2.84,-9.11,-0.24
310,2.85,-9.13,-0.21
320,2.88,-9.12,-0.23
330,2.94,-9.08,-0.19
340,3.02,-9.05,-0.13
350,3.03,-9.02,-0.13
360,2.97,-9.0,-0.1
370,2.86,-8.97,-0.08
380,2.8,-8.94,-0.04
390,2.85,-8.84,-0.1
400,2.81,-8.75,-0.09
410,2.71,-8.5,-0.09
420,2.62,-8.25,-0.16
430,2.59,-8.03,-0.25
440,2.78,-7.91,-0.15
450,2.89,-7.85,-0.05
460,3.2,-7.75,-0.15
470,3.51,-7.6,-0.25
480,3.72,-7.49,-0.23
490,3.88,-7.4,-0.28
500,3.87,-7.24,-0.34
510,3.99,-7.1,-0.45
520,4.02,-6.93,-0.54
530,4.14,-6.71,-0.52
540,4.4,-6.53,-0.65
550,4.71,-6.44,-0.81
560,5.0,-6.41,-0.92
570,5.36,-6.5,-0.93
580,5.75,-6.63,-1.02
590,6.04,-6.7,-0.91
600,6.35,-6.67,-0.88
610,6.6,-6.56,-0.93
620,6.9,-6.46,-1.06
630,7.23,-6.36,-1.1
640,7.59,-6.29,-1.23
650,7.99,-6.14,-1.34
660,8.32,-5.98,-1.45
670,8.72,-5.81,-1.56
680,9.31,-5.64,-1.46
690,9.91,-5.41,-1.16
700,10.47,-5.09,-0.92
710,10.76,-4.77,-0.88
720,10.84,-4.32,-0.99
730,11.07,-3.73,-1.23
740,11.9,-3.08,-1.13
750,12.97,-2.34,-1.1
760,13.79,-1.67,-0.79
770,13.86,-1.17,-0.9
780,13.18,-0.67,-1.14
790,11.69,0.16,-1.74
800,10.56,1.32,-1.92
810,10.4,2.52,-1.75
820,10.38,3.46,-1.53
830,9.7,4.02,-1.42
840,8.8,4.22,-1.66
850,8.25,4.45,-2.23
860,8.61,4.83,-2.91
870,9.65,5.29,-3.22
880,11.14,5.72,-3.09
890,12.59,5.93,-2.5
900,13.35,5.89,-1.9
910,13.47,5.77,-1.65
920,13.13,5.67,-1.48
930,12.54,5.62,-1.43
940,12.07,5.47,-1.6
950,11.25,5.59,-1.67
960,10.25,5.76,-1.81
970,9.48,5.74,-1.83
980,8.92,5.76,-1.89
990,8.68,5.81,-2.07
1000,8.66,5.78,-2.31
