timestamp,x,y,z
0,1.7,-9.16,0.54
10,1.73,-9.15,0.6
20,1.51,-9.34,0.36
30,1.87,-9.72,0.35
40,2.11,-10.04,0.52
50,2.13,-10.36,0.23
60,2.54,-10.05,0.32
70,2.47,-10.07,0.32
80,2.27,-10.18,0.16
90,2.35,-10.31,0.23
100,2.6,-10.35,0.31
110,2.42,-10.51,0.6
120,2.6,-10.32,0.54
130,2.53,-10.16,0.81
140,2.46,-10.07,0.73
150,2.35,-10.08,0.65
160,2.35,-10.08,0.51
170,2.31,-10.03,0.45
180,2.08,-9.89,0.42
190,2.06,-9.68,0.68
200,2.13,-9.41,0.7
210,1.87,-9.28,0.57
220,1.87,-9.15,0.67
230,1.91,-9.02,0.71
240,1.76,-8.94,0.4
250,1.82,-8.95,0.32
260,1.87,-8.95,0.26
270,1.91,-8.88,0.15
280,1.83,-8.83,0.04
290,1.79,-8.79,-0.04
300,1.79,-8.81,-0.01
310,1.93,-8.83,0.0
320,2.14,-8.8,-0.0
330,2.26,-8.82,-0.1
340,2.28,-8.83,-0.1
350,2.4,-8.84,-0.08
360,2.52,-8.8,0.04
370,2.57,-8.65,0.12
380,2.61,-8.51,0.23
390,2.61,-8.39,0.3
400,2.68,-8.33,0.32
410,2.81,-8.35,0.23
420,3.02,-8.39,0.17
430,3.27,-8.37,0.07
440,3.4,-8.32,0.08
450,3.54,-8.24,0.09
460,3.63,-8.12,0.14
470,3.86,-8.02,0.15
480,4.19,-7.99,0.11
490,4.45,-7.94,-0.0
500,4.57,-7.85,-0.09
510,4.78,-7.73,-0.12
520,4.96,-7.6,-0.18
530,5.22,-7.45,-0.18
540,5.51,-7.33,-0.35
550,5.84,-7.29,-0.44
560,6.33,-7.2,-0.59
570,6.63,-7.07,-0.64
580,6.84,-6.91,-0.72
590,6.99,-6.72,-0.72
600,7.09,-6.47,-0.58
610,7.36,-6.33,-0.31
620,8.08,-6.32,-0.05
630,8.6,-6.13,-0.0
640,8.9,-5.82,-0.13
650,9.28,-5.26,-0.43
660,9.42,-5.03,-0.52
670,9.57,-4.66,-0.62
680,9.74,-4.19,-0.64
690,10.01,-3.79,-0.37
700,10.15,-3.53,-0.15
710,9.99,-3.15,-0.26
720,9.79,-2.6,-0.41
730,9.4,-1.58,-0.22
740,9.58,-0.31,-0.09
750,9.47,0.93,-0.08
760,9.11,1.76,0.04
770,8.71,2.28,-0.42
780,8.72,2.79,-0.97
790,9.18,3.68,-1.47
800,10.03,4.32,-1.75
810,11.18,4.7,-2.07
820,12.06,5.03,-1.94
830,12.92,5.15,-1.35
840,13.41,5.14,-0.97
850,13.73,5.17,-1.21
860,14.17,5.3,-1.74
870,14.29,5.55,-2.08
880,14.37,5.59,-2.21
890,13.95,5.58,-1.8
900,13.16,5.36,-1.18
910,12.19,5.27,-0.64
920,11.37,5.45,-0.2
930,10.9,5.61,0.03
940,10.48,5.62,-0.11
950,10.09,5.73,-0.56
960,9.59,5.76,-0.84
970,9.12,5.61,-1.02
980,8.69,5.41,-1.1
990,8.43,5.43,-1.19
1000,8.29,5.69,-1.19
