timestamp,x,y,z
0,1.26,-9.74,-0.66
10,1.54,-9.79,-0.4
20,1.33,-9.77,-0.35
30,1.7,-9.61,-0.43
40,1.93,-9.65,-0.31
50,1.91,-9.83,-0.66
60,1.74,-10.03,-0.77
70,1.59,-10.13,-0.82
80,1.68,-10.12,-0.75
90,1.5,-10.13,-0.61
100,1.5,-10.13,-0.52
110,1.58,-10.04,-0.45
120,1.63,-9.95,-0.43
130,1.67,-9.91,-0.34
140,1.7,-9.95,-0.28
150,1.81,-10.04,-0.24
160,1.94,-10.11,-0.26
170,1.97,-10.09,-0.37
180,1.88,-10.0,-0.44
190,1.78,-9.85,-0.37
200,1.71,-9.73,-0.3
210,1.52,-9.66,-0.29
220,1.45,-9.67,-0.21
230,1.36,-9.66,-0.19
240,2.3,-9.75,-0.09
250,1.98,-9.77,-0.08
260,2.34,-9.72,-0.02
270,2.2,-9.66,0.12
280,2.08,-9.62,-0.06
290,1.99,-9.69,-0.2
300,1.98,-9.78,-0.35
310,1.81,-9.8,-0.41
320,1.65,-9.74,-0.47
330,1.66,-9.71,-0.45
340,1.67,-9.71,-0.31
350,1.69,-9.7,-0.28
360,1.71,-9.67,-0.21
370,1.7,-9.64,-0.21
380,1.71,-9.6,-0.24
390,1.73,-9.57,-0.28
400,1.76,-9.6,-0.34
410,1.74,-9.58,-0.33
420,1.82,-9.55,-0.27
430,1.87,-9.56,-0.29
440,1.86,-9.54,-0.26
450,1.81,-9.45,-0.24
460,1.74,-9.27,-0.18
470,1.71,-9.08,-0.09
480,1.79,-8.92,0.0
490,2.03,-8.8,0.11
500,2.36,-8.65,0.1
510,2.7,-8.57,0.04
520,3.01,-8.54,-0.19
530,3.13,-8.57,-0.12
540,3.17,-8.52,-0.18
550,3.17,-8.48,-0.2
560,3.37,-8.44,-0.15
570,3.38,-8.29,-0.19
580,3.33,-8.2,-0.29
590,3.36,-8.23,-0.44
600,3.41,-8.32,-0.54
610,3.65,-8.42,-0.56
620,3.84,-8.49,-0.57
630,3.93,-8.42,-0.45
640,4.05,-8.37,-0.34
650,4.24,-8.33,-0.31
660,4.47,-8.33,-0.38
670,4.72,-8.24,-0.45
680,5.0,-8.09,-0.42
690,5.35,-7.92,-0.39
700,5.85,-7.8,-0.33
710,6.31,-7.56,-0.09
720,6.67,-7.26,-0.05
730,7.03,-7.02,-0.19
740,7.32,-6.86,-0.34
750,7.6,-6.65,-0.42
760,7.94,-6.39,-0.51
770,8.25,-6.09,-0.65
780,8.52,-5.71,-0.85
790,8.94,-5.39,-1.04
800,9.38,-5.12,-0.97
810,9.78,-4.85,-1.01
820,10.14,-4.44,-1.16
830,10.1,-3.92,-1.26
840,10.2,-3.39,-1.31
850,10.68,-2.79,-1.31
860,11.02,-2.22,-1.06
870,11.39,-1.85,-1.02
880,11.3,-1.46,-1.18
890,10.43,-0.77,-1.45
900,9.21,0.18,-1.68
910,8.13,0.94,-1.5
920,7.38,1.63,-1.15
930,6.94,2.37,-0.43
940,6.82,2.93,0.24
950,6.74,3.26,0.23
960,6.62,3.99,-0.47
970,7.54,4.6,-1.3
980,8.93,4.75,-2.04
990,10.24,4.95,-2.41
1000,11.5,5.09,-2.01
