timestamp,x,y,z
0,2.19,-9.21,-0.14
10,2.36,-9.2,0.15
20,2.24,-9.37,0.01
30,2.92,-9.74,-0.05
40,2.87,-9.89,-0.16
50,2.86,-10.01,-0.42
60,2.77,-10.01,-0.26
70,2.7,-10.0,-0.25
80,2.63,-9.93,-0.19
90,2.62,-9.94,-0.09
100,2.58,-9.93,-0.05
110,2.49,-9.91,0.0
120,2.46,-9.91,0.0
130,2.46,-9.92,0.08
140,2.54,-9.92,0.05
150,2.75,-9.98,0.07
160,2.85,-9.99,-0.04
170,2.84,-9.93,0.03
180,2.76,-9.79,0.03
190,2.68,-9.7,0.07
200,2.59,-9.66,-0.03
210,2.63,-9.61,0.11
220,2.55,-9.45,0.19
230,2.57,-9.41,0.07
240,2.61,-9.42,0.27
250,2.53,-9.4,0.27
260,2.5,-9.43,0.04
270,2.65,-9.53,-0.06
280,2.56,-9.52,-0.18
290,2.38,-9.45,-0.22
300,2.3,-9.38,-0.19
310,2.34,-9.28,-0.22
320,2.31,-9.24,-0.26
330,2.3,-9.11,-0.2
340,2.27,-8.96,-0.1
350,2.35,-8.72,-0.17
360,2.46,-8.59,0.0
370,2.46,-8.5,-0.01
380,2.42,-8.44,-0.0
390,2.36,-8.32,-0.05
400,2.36,-8.11,0.03
410,2.61,-7.85,0.1
420,2.84,-7.6,0.03
430,2.92,-7.43,0.02
440,2.95,-7.3,-0.07
450,3.39,-7.3,0.0
460,3.78,-7.28,0.01
470,4.26,-7.43,0.05
480,4.67,-7.71,-0.09
490,5.03,-7.92,-0.23
500,5.29,-8.04,-0.36
510,5.51,-8.11,-0.26
520,5.72,-8.07,-0.15
530,5.88,-8.03,-0.01
540,6.11,-8.03,0.11
550,6.37,-8.11,0.19
560,6.56,-8.16,0.23
570,6.75,-8.15,0.26
580,6.85,-8.12,0.23
590,6.84,-8.04,0.21
600,6.85,-7.9,0.2
610,6.86,-7.68,0.17
620,7.0,-7.37,0.09
630,7.15,-7.03,0.19
640,7.59,-6.62,0.16
650,8.21,-6.28,-0.03
660,8.72,-5.93,-0.36
670,9.15,-5.54,-0.7
680,9.62,-5.05,-0.81
690,10.14,-4.63,-0.86
700,10.73,-4.3,-0.83
710,11.36,-4.01,-0.69
720,11.82,-3.46,-0.58
730,12.07,-2.61,-0.63
740,11.84,-1.82,-0.47
750,11.62,-0.92,-0.24
760,11.07,-0.04,-0.31
770,10.18,0.63,-0.64
780,9.07,1.19,-0.85
790,7.93,2.03,-0.82
800,6.62,2.89,-0.8
810,6.01,3.48,-0.79
820,6.22,4.14,-0.6
830,7.0,5.34,-0.32
840,7.9,6.33,-0.07
850,8.02,7.13,-0.11
860,9.23,7.29,-0.1
870,9.81,7.25,-0.24
880,10.79,7.2,-0.47
890,11.82,7.32,-0.66
900,12.88,7.4,-0.43
910,13.4,7.47,0.07
920,13.36,7.46,0.39
930,12.34,7.54,0.17
940,11.84,6.93,-0.3
950,11.29,6.6,-1.05
960,10.02,6.15,-1.31
970,9.6,6.16,-1.65
980,9.02,6.17,-1.41
990,8.62,6.0,-1.47
1000,8.54,5.84,-1.37
