timestamp,x,y,z
0,3.59,-8.86,-0.54
10,3.49,-8.88,-0.73
20,3.47,-9.13,-0.92
30,3.74,-9.28,-0.91
40,3.75,-9.25,-0.89
50,3.99,-9.29,-1.06
60,3.95,-9.42,-1.06
70,4.09,-9.61,-1.07
80,4.22,-9.76,-1.06
90,4.27,-9.84,-0.99
100,4.2,-9.86,-1.03
110,4.15,-9.84,-0.9
120,4.12,-9.82,-0.73
130,4.14,-9.8,-0.6
140,4.28,-9.77,-0.5
150,4.35,-9.79,-0.51
160,4.29,-9.76,-0.62
170,4.19,-9.6,-0.66
180,4.04,-9.46,-0.59
190,4.04,-9.39,-0.5
200,4.02,-9.25,-0.25
210,4.04,-9.21,-0.21
220,3.91,-9.11,-0.22
230,3.95,-9.2,-0.28
240,3.91,-9.15,-0.28
250,3.88,-9.08,-0.38
260,3.73,-9.02,-0.45
270,3.54,-8.99,-0.55
280,3.64,-9.04,-0.68
290,3.63,-9.08,-0.74
300,3.54,-9.03,-0.83
310,3.46,-8.96,-0.8
320,3.48,-8.89,-0.81
330,3.51,-8.88,-0.84
340,3.51,-8.92,-0.91
350,3.56,-8.97,-0.92
360,3.67,-9.02,-0.92
370,3.82,-9.03,-0.85
380,3.91,-9.03,-0.74
390,3.96,-9.04,-0.69
400,3.93,-9.05,-0.67
410,3.93,-9.08,-0.67
420,3.95,-9.08,-0.68
430,3.95,-9.06,-0.66
440,3.94,-8.98,-0.59
450,3.86,-8.86,-0.61
460,3.78,-8.77,-0.55
470,3.65,-8.64,-0.51
480,3.62,-8.5,-0.57
490,3.74,-8.41,-0.53
500,3.96,-8.3,-0.49
510,4.24,-8.2,-0.29
520,4.69,-8.09,-0.27
530,5.23,-8.02,-0.3
540,5.78,-8.01,-0.42
550,6.02,-8.06,-0.37
560,6.06,-8.05,-0.5
570,6.2,-8.04,-0.56
580,6.24,-8.03,-0.68
590,6.39,-8.03,-0.73
600,6.37,-8.01,-0.75
610,6.32,-7.89,-0.64
620,6.28,-7.61,-0.48
630,6.31,-7.38,-0.37
640,6.46,-7.23,-0.43
650,6.62,-7.17,-0.45
660,6.91,-7.2,-0.58
670,7.14,-7.23,-0.61
680,7.17,-7.13,-0.69
690,7.17,-6.89,-0.84
700,7.22,-6.64,-0.85
710,7.25,-6.44,-0.84
720,7.32,-6.23,-1.0
730,7.38,-5.97,-1.23
740,7.63,-5.68,-1.39
750,8.09,-5.35,-1.52
760,8.63,-4.95,-1.54
770,9.31,-4.51,-1.6
780,9.92,-4.12,-1.52
790,10.37,-3.74,-1.37
800,10.39,-3.26,-1.59
810,10.32,-2.79,-1.6
820,10.19,-2.14,-1.61
830,10.05,-1.21,-1.64
840,9.35,0.14,-1.04
850,8.65,1.04,-0.34
860,8.1,1.56,0.17
870,7.56,2.15,0.21
880,7.4,2.81,-0.16
890,7.75,3.5,-0.59
900,8.19,4.07,-0.55
910,8.61,4.31,0.06
920,8.66,4.54,0.44
930,8.89,4.77,0.04
940,9.72,5.06,-0.94
950,10.81,5.46,-1.52
960,12.09,5.91,-1.52
970,13.13,6.22,-1.28
980,13.59,6.26,-1.43
990,13.75,6.0,-1.92
1000,13.39,5.88,-2.06
