timestamp,x,y,z
0,2.82,-8.77,-0.71
10,3.16,-8.69,-0.9
20,3.22,-9.02,-1.09
30,3.98,-9.28,-0.94
40,4.11,-9.42,-0.95
50,3.99,-9.55,-1.18
60,3.78,-9.74,-1.3
70,3.44,-9.9,-1.45
80,3.56,-9.88,-1.35
90,3.95,-9.85,-1.07
100,4.4,-9.83,-0.77
110,4.4,-9.84,-0.58
120,4.22,-9.81,-0.67
130,4.06,-9.73,-0.68
140,4.05,-9.65,-0.7
150,4.09,-9.56,-0.7
160,3.97,-9.39,-0.69
170,3.92,-9.25,-0.67
180,4.02,-9.1,-0.6
190,4.04,-9.02,-0.56
200,3.96,-8.97,-0.54
210,3.77,-8.98,-0.56
220,3.68,-8.73,-0.51
230,3.45,-8.77,-0.3
240,3.65,-8.62,-0.48
250,3.3,-8.46,-0.44
260,3.41,-8.46,-0.51
270,3.29,-8.53,-0.73
280,3.29,-8.6,-0.81
290,3.22,-8.64,-0.97
300,3.02,-8.6,-1.14
310,3.03,-8.58,-1.09
320,3.26,-8.65,-0.93
330,3.48,-8.71,-0.9
340,3.45,-8.71,-0.91
350,3.34,-8.6,-1.0
360,3.14,-8.42,-1.04
370,3.22,-8.37,-1.03
380,3.46,-8.37,-0.9
390,3.89,-8.45,-0.8
400,4.33,-8.57,-0.73
410,4.59,-8.63,-0.69
420,4.63,-8.54,-0.69
430,4.49,-8.35,-0.85
440,4.76,-8.36,-0.88
450,5.16,-8.41,-1.08
460,5.96,-8.59,-1.35
470,6.3,-8.89,-1.43
480,6.74,-9.07,-1.24
490,7.13,-9.02,-1.14
500,7.23,-8.82,-1.0
510,7.3,-8.68,-0.75
520,7.42,-8.49,-0.58
530,7.4,-8.28,-0.55
540,7.28,-8.01,-0.69
550,6.98,-7.81,-0.75
560,6.5,-7.58,-0.79
570,6.01,-7.25,-0.75
580,5.68,-6.87,-0.72
590,5.63,-6.56,-0.72
600,5.81,-6.4,-0.95
610,6.08,-6.24,-1.21
620,6.3,-5.93,-1.34
630,6.64,-5.52,-1.55
640,7.02,-5.04,-1.46
650,7.32,-4.64,-1.19
660,7.65,-4.28,-0.93
670,8.12,-3.85,-0.93
680,8.58,-3.44,-0.99
690,8.87,-2.96,-1.05
700,9.15,-2.29,-1.18
710,9.4,-1.44,-1.38
720,9.53,-0.72,-1.43
730,9.67,-0.41,-1.1
740,9.57,-0.44,-0.86
750,9.38,0.09,-0.5
760,9.44,1.2,-0.25
770,9.79,2.05,-0.26
780,9.95,2.66,-0.37
790,9.74,3.32,-0.47
800,9.62,3.75,-0.85
810,9.75,3.99,-1.37
820,9.85,4.19,-1.74
830,10.12,4.35,-1.73
840,10.88,5.14,-1.62
850,11.93,6.24,-1.58
860,12.87,6.96,-1.77
870,12.8,7.36,-1.98
880,12.38,7.24,-2.19
890,11.79,7.12,-2.5
900,11.35,7.03,-2.63
910,11.04,7.1,-2.68
920,10.75,7.13,-2.64
930,10.32,7.12,-2.45
940,9.7,7.04,-2.13
950,9.21,6.7,-1.98
960,8.95,6.3,-1.95
970,8.91,6.0,-2.06
980,8.84,5.97,-1.98
990,8.88,6.1,-1.6
1000,9.03,6.35,-1.27
