timestamp,x,y,z
0,0.05,-0.83,-10.4
10,-0.15,-0.92,-10.07
20,-0.18,-0.98,-10.23
30,0.3,-0.95,-10.44
40,0.55,-0.93,-10.33
50,0.29,-0.86,-10.42
60,0.1,-0.8,-10.39
70,0.0,-0.74,-10.47
80,-0.24,-0.71,-10.18
90,-0.58,-0.67,-10.07
100,-0.76,-0.64,-10.09
110,-0.44,-0.67,-10.32
120,0.09,-0.79,-10.49
130,0.28,-0.92,-10.53
140,0.33,-1.02,-10.71
150,0.46,-1.07,-10.86
160,0.43,-1.07,-11.0
170,0.58,-1.09,-11.11
180,0.67,-1.06,-11.19
190,0.54,-1.02,-11.21
200,0.34,-0.98,-11.26
210,0.22,-0.9,-10.79
220,0.04,-0.96,-10.52
230,0.21,-0.97,-10.58
240,0.49,-0.95,-10.73
250,0.47,-0.98,-10.63
260,0.27,-0.99,-10.25
270,-0.03,-0.91,-10.09
280,0.07,-0.88,-10.04
290,-0.06,-0.77,-10.05
300,-0.04,-0.7,-10.12
310,-0.02,-0.68,-9.96
320,0.04,-0.63,-10.14
330,0.15,-0.68,-10.22
340,0.27,-0.69,-10.24
350,0.38,-0.7,-10.16
360,0.38,-0.6,-10.23
370,0.43,-0.52,-10.44
380,0.45,-0.5,-10.63
390,0.43,-0.52,-10.73
400,0.45,-0.45,-10.66
410,0.58,-0.28,-10.54
420,0.72,-0.08,-10.45
430,0.66,0.09,-10.32
440,0.66,0.22,-10.28
450,0.69,0.4,-10.35
460,0.64,0.57,-10.51
470,0.59,0.73,-10.51
480,0.73,0.82,-10.29
490,0.94,0.92,-10.06
500,0.98,1.0,-9.86
510,1.25,1.14,-9.91
520,1.75,1.21,-10.12
530,1.87,1.04,-10.28
540,2.21,1.01,-10.41
550,2.3,0.96,-10.67
560,2.39,0.91,-10.84
570,2.49,0.8,-10.81
580,2.63,0.62,-10.76
590,2.62,0.44,-10.63
600,2.63,0.28,-10.56
610,2.74,0.21,-10.5
620,2.85,0.1,-10.53
630,3.01,0.01,-10.47
640,3.01,-0.06,-10.51
650,3.33,-0.19,-10.79
660,3.55,-0.28,-11.02
670,3.62,-0.42,-11.02
680,3.57,-0.55,-10.91
690,3.49,-0.63,-10.77
700,3.44,-0.67,-10.67
710,3.34,-0.62,-10.49
720,3.32,-0.61,-10.54
730,3.5,-0.66,-10.66
740,3.68,-0.88,-10.88
750,3.99,-1.12,-10.98
760,4.32,-1.2,-10.98
770,4.3,-1.19,-10.71
780,4.28,-0.97,-10.4
790,4.68,-0.94,-10.64
800,4.94,-1.19,-10.73
810,4.86,-1.35,-10.07
820,4.5,-1.39,-9.38
830,3.93,-1.55,-9.15
840,3.94,-1.62,-8.94
850,4.33,-1.58,-8.53
860,4.76,-1.38,-8.42
870,5.19,-1.38,-8.84
880,5.27,-1.68,-9.35
890,4.99,-1.8,-9.22
900,5.07,-1.64,-8.92
910,4.66,-1.4,-9.03
920,4.44,-1.24,-9.53
930,4.23,-1.33,-9.92
940,4.07,-1.58,-9.84
950,4.35,-1.83,-9.9
960,4.68,-2.19,-10.14
970,4.91,-2.36,-10.44
980,4.5,-2.05,-10.32
990,4.66,-1.69,-10.49
1000,4.16,-1.29,-10.52
