timestamp,x,y,z
0,2.85,-2.02,-10.32
10,2.87,-2.04,-10.37
20,2.69,-2.1,-10.53
30,3.42,-2.1,-10.91
40,4.3,-2.18,-11.03
50,4.67,-2.22,-10.73
60,4.67,-2.17,-10.36
70,4.34,-2.22,-9.7
80,4.37,-2.27,-9.33
90,4.56,-2.39,-9.15
100,4.74,-2.6,-9.08
110,4.62,-2.73,-8.97
120,4.54,-2.88,-9.11
130,4.41,-3.06,-9.25
140,4.4,-3.33,-9.54
150,4.78,-3.67,-9.99
160,5.4,-4.16,-10.34
170,5.85,-4.71,-10.39
180,6.15,-5.38,-10.29
190,6.53,-5.9,-10.2
200,6.81,-6.41,-10.5
210,6.59,-6.32,-10.71
220,6.13,-6.08,-10.47
230,5.15,-5.82,-10.27
240,4.4,-5.57,-9.96
250,3.42,-5.35,-9.36
260,3.2,-4.91,-8.99
270,3.29,-4.42,-8.78
280,3.47,-4.07,-9.04
290,3.56,-3.69,-8.91
300,3.16,-3.1,-8.65
310,2.35,-2.27,-8.53
320,5.14,-2.45,-8.93
330,5.68,-2.75,-9.03
340,5.62,-2.98,-9.06
350,4.36,-2.75,-9.0
360,2.8,-2.19,-9.0
370,2.74,-1.31,-9.01
380,2.31,-0.63,-8.77
390,2.82,0.15,-8.65
400,4.31,0.68,-8.34
410,5.34,0.5,-8.74
420,5.49,0.37,-9.13
430,5.25,0.46,-9.43
440,4.79,0.47,-9.53
450,4.5,0.61,-9.33
460,4.55,0.83,-9.11
470,4.87,1.12,-9.19
480,5.42,1.31,-9.28
490,5.9,1.27,-9.56
500,6.12,1.06,-9.73
510,5.97,0.88,-9.79
520,5.66,0.84,-9.77
530,5.59,0.85,-9.65
540,5.56,0.86,-9.58
550,5.66,0.77,-9.35
560,5.86,0.57,-9.14
570,6.02,0.34,-9.08
580,6.02,0.13,-9.06
590,5.88,-0.01,-9.09
600,5.68,-0.03,-9.16
610,5.44,-0.02,-9.1
620,5.36,-0.01,-9.08
630,5.34,-0.03,-9.05
640,5.29,-0.11,-9.04
650,5.29,-0.24,-9.12
660,5.29,-0.4,-9.3
670,5.35,-0.52,-9.4
680,5.4,-0.54,-9.42
690,5.33,-0.48,-9.44
700,5.15,-0.46,-9.52
710,4.92,-0.42,-9.56
720,4.58,-0.45,-9.5
730,4.38,-0.48,-9.57
740,4.3,-0.48,-9.76
750,4.3,-0.43,-9.84
760,4.38,-0.3,-9.88
770,4.46,-0.11,-9.97
780,4.48,0.04,-10.08
790,4.41,0.12,-10.06
800,4.34,0.15,-9.96
810,4.3,0.21,-9.92
820,4.19,0.27,-9.91
830,4.06,0.31,-9.87
840,4.02,0.3,-9.81
850,4.12,0.29,-9.71
860,4.22,0.32,-9.62
870,4.35,0.34,-9.6
880,4.49,0.35,-9.58
890,4.49,0.36,-9.61
900,4.5,0.32,-9.57
910,4.63,0.19,-9.56
920,4.7,0.02,-9.53
930,4.68,-0.05,-9.47
940,4.72,-0.07,-9.42
950,4.85,-0.07,-9.39
960,4.94,-0.11,-9.34
970,4.94,-0.24,-9.28
980,4.89,-0.35,-9.29
990,4.72,-0.41,-9.38
1000,4.57,-0.41,-9.47
