timestamp,x,y,z
0,-2.18,-4.49,-8.27
10,-2.59,-4.32,-7.98
20,-3.05,-3.94,-7.76
30,-3.14,-3.95,-7.8
40,-3.71,-3.82,-7.75
50,-3.11,-3.17,-8.32
60,-2.6,-3.06,-8.81
70,-2.35,-3.03,-8.68
80,-2.14,-3.11,-8.95
90,-2.02,-2.73,-9.33
100,-2.47,-2.51,-9.48
110,-2.36,-2.83,-9.52
120,-2.68,-3.23,-9.74
130,-2.48,-3.15,-10.03
140,-2.36,-3.6,-10.08
150,-2.47,-3.73,-9.79
160,-2.44,-4.17,-9.69
170,-2.44,-4.58,-9.48
180,-2.46,-4.79,-9.22
190,-2.48,-4.93,-9.22
200,-2.36,-4.92,-9.18
210,-1.89,-4.78,-9.22
220,-1.47,-4.63,-9.25
230,-1.57,-4.62,-9.35
240,-1.8,-4.28,-9.16
250,-0.58,-3.84,-9.28
260,0.24,-3.77,-9.48
270,0.76,-3.62,-9.53
280,1.12,-3.17,-9.69
290,1.38,-3.02,-9.68
300,0.81,-3.33,-9.33
310,-0.1,-3.73,-8.7
320,-0.7,-4.07,-8.48
330,-0.0,-4.62,-8.17
340,1.02,-4.82,-7.83
350,1.89,-5.08,-7.59
360,2.47,-5.37,-7.38
370,3.12,-5.77,-7.34
380,3.54,-6.43,-7.13
390,3.52,-7.08,-7.03
400,3.2,-7.56,-7.19
410,2.57,-7.77,-7.58
420,1.98,-7.5,-8.52
430,1.76,-7.14,-9.55
440,1.75,-7.1,-10.25
450,1.74,-7.16,-10.9
460,1.67,-7.41,-11.26
470,1.57,-7.65,-11.42
480,1.59,-7.51,-11.33
490,2.41,-7.33,-11.54
500,2.94,-7.13,-11.57
510,2.94,-6.81,-11.8
520,2.85,-6.76,-11.98
530,2.99,-7.41,-11.67
540,2.94,-7.44,-11.61
550,2.25,-6.95,-11.15
560,0.93,-6.34,-10.1
570,0.12,-5.79,-10.12
580,-0.64,-4.78,-10.86
590,-0.14,-4.26,-10.18
600,0.39,-3.73,-9.28
610,2.23,-3.25,-8.47
620,2.43,-2.88,-8.1
630,2.74,-2.56,-8.02
640,2.61,-2.23,-8.69
650,2.75,-2.08,-8.95
660,3.42,-1.45,-8.58
670,4.32,-0.68,-8.32
680,5.06,-0.17,-7.79
690,5.45,-0.03,-7.5
700,5.73,-0.1,-7.87
710,5.77,-0.09,-8.6
720,5.45,0.06,-9.04
730,5.34,0.05,-9.4
740,3.89,-0.29,-8.87
750,3.44,0.08,-8.95
760,9.12,0.28,-9.47
770,7.55,0.39,-8.8
780,6.79,-0.1,-9.11
790,6.19,-0.42,-9.05
800,6.41,-0.55,-9.22
810,6.07,-0.33,-9.5
820,6.58,-0.1,-8.91
830,6.77,-0.06,-8.39
840,6.61,-0.05,-8.15
850,6.6,-0.15,-8.1
860,6.51,-0.22,-8.18
870,6.48,-0.27,-8.01
880,6.7,-0.21,-8.12
890,6.88,-0.14,-8.34
900,7.11,-0.15,-8.6
910,7.23,-0.28,-8.68
920,7.25,-0.32,-8.67
930,7.23,-0.35,-8.66
940,7.2,-0.37,-8.66
950,7.23,-0.42,-8.71
960,7.28,-0.51,-8.64
970,7.43,-0.57,-8.71
980,7.56,-0.67,-8.68
990,7.53,-0.77,-8.64
1000,7.56,-0.86,-8.56
