timestamp,x,y,z
0,-0.43,-4.2,-9.29
10,-0.36,-4.35,-9.1
20,0.96,-4.33,-9.67
30,0.12,-4.66,-9.47
40,0.0,-4.16,-9.63
50,-0.28,-3.95,-9.57
60,-0.22,-3.86,-9.54
70,-0.15,-3.8,-9.33
80,-0.31,-3.5,-9.5
90,-0.62,-3.21,-9.82
100,-0.74,-2.97,-10.22
110,-0.6,-2.79,-10.41
120,-0.21,-2.65,-10.38
130,0.15,-2.51,-10.15
140,0.48,-2.43,-9.94
150,0.78,-2.15,-9.88
160,0.95,-1.92,-9.92
170,0.89,-1.76,-10.0
180,0.95,-1.55,-10.12
190,1.28,-1.61,-10.16
200,1.69,-1.76,-9.89
210,2.75,-2.01,-9.82
220,2.31,-2.46,-9.38
230,2.36,-2.54,-9.15
240,2.04,-2.62,-9.17
250,2.15,-2.75,-9.33
260,2.28,-2.87,-9.69
270,2.48,-3.04,-9.95
280,2.76,-3.21,-10.08
290,2.72,-3.19,-10.08
300,3.06,-3.56,-9.79
310,3.08,-3.8,-9.4
320,3.24,-4.07,-9.31
330,3.2,-4.24,-9.36
340,3.33,-4.34,-9.62
350,3.29,-4.36,-9.59
360,3.09,-4.43,-9.31
370,2.9,-4.51,-8.88
380,2.92,-4.72,-8.47
390,3.08,-4.98,-8.39
400,3.41,-5.29,-8.47
410,3.5,-5.61,-8.64
420,3.7,-5.77,-8.9
430,4.02,-5.81,-9.15
440,4.27,-5.9,-8.96
450,4.34,-5.79,-8.53
460,4.4,-5.77,-7.92
470,4.37,-5.79,-8.03
480,4.76,-5.78,-8.34
490,5.23,-5.71,-8.63
500,5.23,-5.63,-8.84
510,4.96,-5.57,-9.04
520,4.27,-5.38,-9.04
530,3.78,-5.09,-8.87
540,3.97,-4.74,-8.75
550,4.73,-4.63,-8.63
560,5.5,-4.44,-9.32
570,5.37,-4.35,-9.72
580,5.3,-4.27,-9.82
590,4.74,-4.08,-9.33
600,4.82,-4.03,-8.96
610,5.06,-4.27,-8.62
620,5.57,-4.67,-8.79
630,5.75,-4.63,-9.27
640,5.09,-3.94,-10.01
650,4.57,-3.21,-10.66
660,4.25,-2.7,-10.86
670,4.72,-2.6,-10.7
680,5.06,-2.79,-10.28
690,5.43,-2.81,-9.3
700,4.78,-2.49,-9.14
710,4.84,-2.32,-9.36
720,4.95,-2.27,-10.22
730,4.54,-2.1,-10.73
740,4.31,-2.11,-10.95
750,4.41,-2.25,-10.36
760,4.9,-2.24,-9.45
770,5.24,-2.3,-8.79
780,5.41,-2.27,-8.61
790,5.34,-2.23,-8.79
800,5.28,-2.28,-8.94
810,5.39,-2.43,-9.2
820,5.46,-2.52,-9.36
830,5.54,-2.56,-9.32
840,5.56,-2.58,-9.09
850,5.59,-2.55,-8.93
860,5.78,-2.42,-8.78
870,6.04,-2.26,-8.68
880,6.23,-2.18,-8.66
890,6.4,-2.29,-8.84
900,6.44,-2.39,-8.78
910,6.49,-2.49,-8.79
920,6.53,-2.45,-8.81
930,6.53,-2.34,-8.81
940,6.46,-2.23,-8.64
950,6.45,-2.23,-8.61
960,6.42,-2.26,-8.6
970,6.31,-2.37,-8.59
980,6.23,-2.45,-8.62
990,6.28,-2.5,-8.53
1000,6.35,-2.54,-8.3
