timestamp,x,y,z
0,-0.11,-0.09,-10.51
10,-0.05,-0.17,-10.3
20,-0.31,-0.25,-10.46
30,-0.1,-0.28,-10.59
40,0.04,-0.33,-10.62
50,0.08,-0.25,-10.45
60,-0.08,-0.14,-10.4
70,-0.24,0.09,-10.39
80,-0.4,0.31,-10.13
90,-0.33,0.47,-10.0
100,-0.15,0.63,-9.96
110,-0.11,0.79,-9.89
120,-0.18,0.96,-9.88
130,-0.27,1.14,-10.06
140,-0.53,1.39,-10.21
150,-0.36,1.56,-10.35
160,-0.08,1.71,-10.43
170,0.87,1.47,-10.46
180,1.74,1.25,-10.7
190,2.63,0.87,-11.0
200,3.25,0.72,-11.0
210,3.01,0.72,-11.04
220,2.01,0.86,-11.23
230,1.43,0.97,-11.07
240,1.0,1.0,-10.7
250,0.77,0.85,-10.6
260,0.97,0.63,-10.48
270,1.38,0.38,-10.41
280,1.9,0.18,-10.27
290,2.29,-0.02,-10.15
300,2.49,0.02,-10.2
310,2.4,0.14,-10.35
320,2.17,0.26,-10.43
330,2.04,0.43,-10.23
340,1.89,0.46,-10.17
350,2.27,0.26,-10.25
360,2.93,-0.16,-10.65
370,3.25,-0.62,-10.63
380,3.62,-1.02,-10.62
390,3.84,-1.19,-10.57
400,3.77,-1.11,-10.04
410,3.49,-0.96,-9.73
420,3.64,-0.91,-9.35
430,3.7,-0.87,-9.65
440,3.82,-0.92,-10.16
450,3.88,-0.99,-10.81
460,3.89,-1.25,-11.29
470,4.15,-1.57,-12.08
480,4.48,-1.62,-12.13
490,4.14,-1.4,-11.32
500,3.55,-1.18,-10.63
510,2.93,-1.11,-10.26
520,2.65,-0.96,-10.31
530,2.79,-1.11,-10.72
540,2.55,-1.27,-11.34
550,2.26,-1.36,-11.24
560,2.02,-1.46,-10.88
570,2.14,-1.54,-10.53
580,2.59,-1.5,-9.73
590,3.66,-1.34,-9.12
600,4.48,-1.17,-9.29
610,4.86,-1.07,-10.32
620,4.78,-1.16,-10.32
630,3.7,-1.04,-9.92
640,3.91,-1.08,-9.23
650,3.43,-1.11,-8.78
660,3.15,-1.07,-8.69
670,3.42,-1.01,-8.64
680,3.93,-1.0,-9.02
690,3.9,-1.07,-9.12
700,3.87,-1.0,-9.48
710,4.04,-0.86,-10.1
720,3.28,-0.77,-10.2
730,1.99,-0.39,-10.43
740,3.84,-0.26,-10.2
750,3.26,0.32,-10.73
760,4.02,0.47,-10.76
770,2.67,0.57,-10.98
780,2.91,0.6,-10.33
790,2.5,0.6,-10.61
800,2.18,0.55,-10.54
810,1.07,0.59,-11.14
820,2.46,0.51,-10.56
830,2.77,0.69,-10.73
840,2.59,0.55,-10.57
850,2.54,0.8,-10.47
860,2.66,0.8,-10.1
870,3.66,0.61,-9.8
880,3.0,0.92,-10.25
890,2.7,1.04,-9.97
900,2.76,1.3,-10.01
910,3.1,1.42,-9.86
920,3.6,1.48,-9.85
930,3.57,1.45,-10.0
940,3.57,1.34,-10.16
950,3.67,1.22,-10.38
960,3.87,1.23,-10.41
970,4.0,1.31,-10.22
980,4.0,1.47,-9.93
990,3.97,1.53,-9.76
1000,4.06,1.51,-9.55
