timestamp,x,y,z
0,-1.43,-0.35,-9.7
10,-2.14,-0.39,-9.34
20,-1.97,-0.37,-9.44
30,-0.64,-0.31,-9.82
40,0.18,-0.33,-9.94
50,0.1,-0.4,-9.92
60,-0.16,-0.43,-9.75
70,-0.27,-0.28,-9.7
80,-0.27,-0.14,-9.78
90,-0.2,0.1,-9.93
100,-0.45,0.48,-10.28
110,-0.58,0.76,-10.6
120,-0.47,0.97,-10.83
130,-0.07,1.12,-10.63
140,0.26,1.23,-10.38
150,0.56,1.28,-10.37
160,1.02,1.25,-10.7
170,1.46,1.12,-11.22
180,1.58,1.03,-11.63
190,1.45,0.9,-11.74
200,1.45,0.72,-11.81
210,1.39,0.59,-11.62
220,1.31,0.46,-11.33
230,1.47,0.44,-11.01
240,1.67,0.43,-10.79
250,1.89,0.47,-10.82
260,2.0,0.47,-10.96
270,1.7,0.49,-11.05
280,1.28,0.46,-10.94
290,1.12,0.56,-10.64
300,1.41,0.83,-10.41
310,2.12,0.85,-10.44
320,2.65,0.76,-10.3
330,3.04,0.57,-10.14
340,3.21,0.15,-10.03
350,3.49,-0.22,-10.17
360,3.9,-0.57,-10.45
370,4.1,-0.94,-10.7
380,4.25,-1.32,-10.78
390,4.55,-1.61,-10.29
400,4.44,-1.8,-10.09
410,4.2,-1.86,-9.89
420,4.04,-1.91,-9.86
430,3.79,-2.18,-9.82
440,3.32,-2.46,-9.79
450,2.94,-2.5,-10.16
460,2.72,-2.44,-10.75
470,2.77,-2.31,-11.15
480,2.97,-2.09,-11.33
490,3.66,-2.0,-11.65
500,4.37,-1.89,-12.07
510,4.52,-1.81,-12.48
520,4.79,-1.87,-12.49
530,4.79,-1.95,-12.02
540,4.38,-1.94,-11.57
550,4.0,-1.92,-11.31
560,3.49,-1.81,-11.02
570,3.26,-1.58,-10.7
580,3.78,-1.01,-10.24
590,4.58,-0.65,-10.67
600,5.22,-0.55,-10.51
610,4.8,-0.37,-10.09
620,4.19,-0.31,-9.29
630,3.62,-0.11,-8.66
640,3.52,0.19,-8.26
650,4.13,0.45,-8.18
660,4.17,0.52,-8.66
670,4.26,0.52,-8.81
680,4.05,0.65,-8.77
690,3.68,0.86,-8.4
700,3.6,1.09,-8.31
710,3.86,1.13,-8.26
720,3.83,1.04,-8.91
730,3.86,0.79,-9.04
740,3.45,0.55,-9.17
750,4.7,0.6,-9.2
760,3.56,0.76,-10.09
770,3.5,1.04,-9.91
780,2.91,1.34,-9.95
790,3.17,1.2,-10.03
800,3.46,0.94,-10.41
810,3.53,0.89,-10.24
820,3.63,1.09,-10.04
830,3.72,1.31,-9.79
840,3.63,1.57,-9.64
850,3.27,1.91,-9.51
860,3.16,2.14,-9.43
870,3.23,2.14,-9.47
880,3.28,1.97,-9.67
890,3.34,1.77,-9.75
900,3.38,1.58,-9.77
910,3.45,1.45,-9.83
920,3.5,1.44,-10.03
930,3.59,1.47,-10.07
940,3.74,1.48,-10.21
950,3.96,1.51,-10.13
960,4.16,1.59,-10.19
970,4.2,1.63,-10.32
980,4.35,1.59,-10.39
990,4.43,1.47,-10.42
1000,4.44,1.35,-10.29
