timestamp,x,y,z
0,2.34,-6.27,-7.5
10,2.37,-6.34,-7.7
20,2.68,-6.51,-7.65
30,3.12,-6.65,-7.57
40,3.44,-6.69,-7.68
50,3.34,-6.58,-7.78
60,3.08,-6.44,-7.92
70,2.82,-6.42,-7.97
80,2.57,-6.45,-7.97
90,2.59,-6.49,-8.03
100,2.7,-6.61,-8.03
110,2.87,-6.79,-8.02
120,2.89,-6.87,-8.1
130,2.81,-6.91,-8.15
140,2.73,-6.92,-8.15
150,2.69,-6.9,-8.01
160,2.88,-6.95,-7.87
170,3.03,-6.94,-7.77
180,3.13,-6.9,-7.74
190,3.1,-6.85,-7.76
200,3.1,-6.77,-7.86
210,3.0,-6.65,-7.76
220,2.89,-6.65,-7.68
230,2.81,-6.67,-7.65
240,2.78,-6.64,-7.48
250,2.74,-6.58,-7.37
260,2.6,-6.48,-7.27
270,2.64,-6.45,-7.27
280,2.72,-6.42,-7.28
290,2.69,-6.35,-7.31
300,2.66,-6.29,-7.33
310,2.77,-6.33,-7.36
320,2.81,-6.35,-7.36
330,2.81,-6.33,-7.35
340,2.78,-6.29,-7.36
350,2.67,-6.23,-7.39
360,2.66,-6.16,-7.42
370,2.78,-6.21,-7.43
380,2.91,-6.23,-7.47
390,2.96,-6.2,-7.58
400,2.92,-6.19,-7.59
410,2.95,-6.11,-7.76
420,2.93,-6.05,-7.73
430,2.98,-6.01,-7.85
440,3.11,-5.98,-8.03
450,3.23,-5.93,-8.17
460,3.28,-5.93,-8.31
470,3.25,-5.92,-8.37
480,3.39,-5.92,-8.43
490,3.46,-5.81,-8.53
500,3.65,-5.69,-8.62
510,3.83,-5.56,-8.57
520,4.02,-5.28,-8.52
530,4.12,-5.0,-8.53
540,4.14,-4.68,-8.38
550,4.08,-4.34,-8.24
560,4.02,-4.03,-8.16
570,3.96,-3.74,-8.08
580,3.98,-3.54,-8.04
590,4.2,-3.41,-8.02
600,4.35,-3.41,-7.95
610,4.45,-3.4,-7.79
620,4.58,-3.35,-7.63
630,4.76,-3.29,-7.58
640,5.05,-3.25,-7.56
650,5.42,-3.23,-7.5
660,5.76,-3.31,-7.49
670,6.17,-3.5,-7.43
680,6.48,-3.72,-7.51
690,6.55,-3.84,-7.7
700,6.53,-3.85,-7.98
710,6.57,-3.76,-8.22
720,6.81,-3.62,-8.57
730,7.23,-3.43,-8.89
740,7.64,-3.29,-9.16
750,8.0,-3.31,-9.26
760,8.01,-3.28,-9.46
770,7.87,-3.18,-9.65
780,7.77,-3.1,-9.65
790,7.69,-2.87,-9.79
800,7.72,-2.6,-9.79
810,7.78,-2.25,-9.69
820,8.06,-1.89,-9.55
830,8.41,-1.49,-10.15
840,7.95,-1.21,-9.53
850,7.14,-0.74,-8.74
860,6.47,-0.26,-8.04
870,6.16,0.33,-7.8
880,6.61,0.77,-7.14
890,7.04,1.18,-6.73
900,7.34,1.41,-6.65
910,7.07,1.55,-6.67
920,6.55,1.37,-6.05
930,5.54,1.99,-6.05
940,5.16,2.46,-5.41
950,5.64,2.94,-5.3
960,5.49,3.61,-5.36
970,4.61,4.71,-6.08
980,3.19,7.02,-6.98
990,3.72,9.04,-6.59
1000,4.25,9.79,-6.44
