timestamp,x,y,z
0,0.67,-6.82,-7.52
10,0.78,-7.08,-7.28
20,0.91,-7.29,-7.1
30,1.19,-7.41,-6.88
40,1.3,-7.32,-6.74
50,1.19,-7.21,-6.72
60,0.92,-7.04,-6.88
70,0.59,-6.88,-7.0
80,0.33,-6.83,-7.22
90,0.34,-6.84,-7.46
100,0.55,-6.88,-7.69
110,0.82,-6.96,-7.79
120,1.03,-7.01,-7.81
130,1.12,-7.02,-7.82
140,1.29,-7.06,-7.94
150,1.3,-7.02,-8.02
160,1.03,-6.98,-7.92
170,0.53,-7.0,-7.82
180,0.44,-7.08,-7.76
190,0.73,-7.2,-7.45
200,0.87,-7.28,-7.25
210,0.78,-7.23,-7.22
220,0.71,-7.09,-7.12
230,0.66,-6.91,-7.09
240,0.6,-6.76,-7.0
250,0.56,-6.67,-7.07
260,0.55,-6.56,-7.14
270,0.54,-6.4,-7.15
280,0.47,-6.21,-7.08
290,0.34,-6.0,-7.07
300,0.23,-5.73,-7.05
310,0.23,-5.48,-7.02
320,0.29,-5.21,-7.02
330,0.47,-4.89,-7.05
340,0.69,-4.44,-7.35
350,1.1,-4.11,-7.62
360,1.67,-3.86,-7.98
370,2.52,-3.73,-8.25
380,3.39,-3.55,-8.76
390,4.15,-3.28,-9.37
400,5.06,-3.16,-9.9
410,5.85,-3.5,-10.15
420,6.78,-3.91,-10.41
430,7.27,-4.36,-10.24
440,7.62,-4.6,-10.2
450,7.87,-5.0,-10.23
460,8.28,-5.29,-10.04
470,8.66,-5.62,-9.61
480,8.8,-5.75,-9.2
490,8.53,-5.69,-9.05
500,8.25,-5.57,-8.93
510,8.17,-5.63,-8.71
520,8.53,-6.01,-8.33
530,8.77,-6.55,-8.04
540,8.96,-7.01,-7.59
550,9.22,-7.37,-7.15
560,9.62,-7.64,-6.85
570,9.92,-7.77,-6.78
580,9.84,-7.72,-6.95
590,9.07,-7.41,-7.33
600,8.83,-6.97,-7.52
610,8.65,-6.61,-7.28
620,8.3,-6.07,-7.19
630,8.18,-5.32,-6.91
640,7.53,-4.2,-6.93
650,6.85,-3.2,-7.29
660,6.44,-2.65,-7.95
670,5.85,-2.67,-8.22
680,5.05,-2.6,-8.6
690,4.71,-2.41,-8.98
700,4.36,-1.94,-9.24
710,4.01,-1.05,-9.37
720,3.74,0.14,-9.77
730,2.76,1.93,-10.47
740,2.72,3.41,-10.72
750,2.5,4.77,-10.79
760,2.24,6.01,-11.12
770,2.37,6.94,-10.84
780,2.36,7.15,-10.29
790,1.71,7.17,-9.37
800,1.76,7.14,-8.1
810,2.49,6.9,-6.89
820,2.99,6.7,-6.03
830,3.84,6.51,-5.55
840,5.16,6.22,-5.27
850,5.93,6.03,-5.03
860,6.84,5.78,-4.89
870,7.66,5.42,-4.76
880,8.13,4.95,-4.66
890,8.0,4.79,-4.72
900,7.82,4.87,-4.98
910,8.08,4.82,-5.33
920,7.54,4.8,-6.14
930,6.0,5.08,-6.97
940,4.57,5.29,-7.77
950,3.91,5.08,-8.48
960,3.56,4.84,-8.98
970,3.12,4.73,-9.33
980,2.87,4.65,-9.73
990,3.06,4.52,-9.89
1000,3.38,4.53,-9.77
