timestamp,x,y,z
0,2.3,-7.54,-6.21
10,2.73,-7.66,-5.93
20,3.13,-7.69,-5.73
30,3.29,-7.64,-5.93
40,2.94,-7.4,-6.27
50,2.48,-7.17,-6.68
60,2.15,-6.94,-6.85
70,2.34,-6.81,-6.95
80,2.58,-6.65,-7.05
90,3.0,-6.48,-7.08
100,3.46,-6.33,-7.21
110,3.82,-6.07,-7.44
120,4.04,-5.75,-7.73
130,4.21,-5.44,-7.86
140,4.48,-5.16,-7.97
150,4.44,-4.93,-7.9
160,4.42,-4.59,-7.89
170,4.06,-4.42,-7.84
180,4.18,-4.3,-7.6
190,4.19,-4.24,-7.46
200,4.03,-3.98,-7.68
210,4.5,-3.71,-7.66
220,4.86,-3.67,-7.58
230,5.1,-3.63,-7.53
240,5.36,-3.57,-7.43
250,5.45,-3.46,-7.66
260,5.54,-3.36,-7.8
270,5.96,-3.37,-7.66
280,6.54,-3.54,-7.65
290,7.04,-3.79,-7.79
300,7.54,-4.13,-7.78
310,7.98,-4.43,-7.86
320,8.34,-4.73,-7.68
330,9.31,-4.94,-7.31
340,8.56,-5.47,-7.25
350,8.2,-5.45,-7.35
360,8.41,-5.6,-7.12
370,9.71,-5.79,-7.07
380,11.39,-6.08,-6.13
390,12.1,-6.25,-6.14
400,12.04,-6.21,-6.28
410,11.15,-5.94,-6.62
420,9.97,-5.45,-6.97
430,9.46,-4.87,-6.98
440,9.73,-4.72,-6.69
450,9.94,-4.74,-6.41
460,10.6,-4.36,-6.05
470,10.7,-3.47,-5.79
480,10.25,-2.62,-6.23
490,8.95,-1.92,-6.08
500,8.15,-1.5,-6.22
510,6.23,-0.73,-6.25
520,9.06,-1.75,-6.3
530,8.31,-0.61,-5.89
540,7.99,0.59,-6.71
550,8.35,1.09,-7.03
560,7.9,1.29,-7.48
570,7.13,1.35,-8.02
580,6.65,1.35,-8.66
590,6.32,1.52,-8.85
600,6.25,1.44,-9.19
610,6.21,1.51,-9.44
620,6.0,1.73,-9.57
630,5.81,1.86,-9.76
640,5.55,1.92,-9.62
650,5.52,1.69,-9.4
660,5.53,1.3,-9.28
670,5.45,1.04,-9.07
680,5.44,1.03,-8.78
690,5.58,1.02,-8.55
700,5.77,1.02,-8.39
710,6.1,1.0,-8.25
720,6.34,0.99,-8.24
730,6.43,1.08,-8.27
740,6.4,1.09,-8.32
750,6.43,1.06,-8.28
760,6.64,1.02,-8.17
770,6.95,1.0,-8.06
780,7.22,1.06,-8.1
790,7.51,1.05,-8.26
800,7.65,1.03,-8.49
810,7.62,0.92,-8.66
820,7.51,0.71,-8.77
830,7.37,0.44,-8.81
840,7.26,0.29,-8.8
850,7.24,0.28,-8.78
860,7.28,0.39,-8.79
870,7.27,0.51,-8.86
880,7.16,0.71,-8.88
890,7.02,0.72,-8.87
900,6.67,0.74,-8.8
910,6.35,0.82,-8.68
920,6.18,0.82,-8.59
930,6.18,0.75,-8.57
940,6.4,0.69,-8.6
950,6.66,0.89,-8.67
960,6.6,1.11,-8.78
970,6.31,1.29,-8.96
980,6.2,1.49,-9.11
990,6.12,1.68,-9.14
1000,6.12,1.69,-9.1
