timestamp,x,y,z
0,3.39,-5.72,-8.36
10,3.38,-5.85,-8.13
20,2.73,-5.83,-7.96
30,2.55,-5.75,-7.97
40,2.52,-5.88,-8.21
50,2.43,-5.95,-8.67
60,2.2,-6.03,-8.9
70,2.06,-6.11,-8.8
80,1.93,-6.17,-8.58
90,1.95,-6.23,-8.3
100,2.06,-6.3,-8.14
110,2.23,-6.36,-8.1
120,2.48,-6.38,-8.21
130,2.64,-6.45,-8.33
140,2.66,-6.48,-8.42
150,2.54,-6.47,-8.48
160,2.46,-6.44,-8.5
170,2.57,-6.36,-8.44
180,2.6,-6.42,-8.46
190,2.66,-6.28,-8.19
200,2.99,-6.21,-8.02
210,3.12,-6.22,-7.85
220,3.06,-6.16,-7.69
230,2.92,-6.17,-7.48
240,2.71,-6.23,-7.4
250,2.49,-6.24,-7.39
260,2.36,-6.29,-7.53
270,2.24,-6.31,-7.55
280,2.18,-6.29,-7.47
290,2.19,-6.31,-7.35
300,2.15,-6.34,-7.28
310,2.09,-6.37,-7.27
320,2.0,-6.39,-7.3
330,1.91,-6.45,-7.42
340,1.83,-6.53,-7.45
350,1.88,-6.58,-7.6
360,1.93,-6.69,-7.78
370,2.15,-6.86,-7.93
380,2.33,-7.0,-7.92
390,2.44,-7.13,-7.85
400,2.2,-6.96,-7.96
410,1.76,-6.92,-7.87
420,1.48,-6.91,-7.85
430,1.24,-6.93,-7.73
440,1.21,-6.95,-7.64
450,1.18,-6.97,-7.7
460,1.18,-6.98,-7.79
470,1.06,-6.92,-7.64
480,0.84,-6.82,-7.52
490,0.73,-6.71,-7.41
500,0.85,-6.73,-7.37
510,1.0,-6.94,-7.46
520,1.18,-7.17,-7.46
530,1.38,-7.18,-7.65
540,1.88,-7.07,-7.7
550,2.13,-6.89,-7.63
560,2.0,-6.89,-7.4
570,1.63,-6.93,-7.38
580,1.32,-7.02,-7.38
590,1.18,-7.12,-7.44
600,1.07,-7.13,-7.52
610,0.87,-7.16,-7.62
620,0.61,-7.31,-7.75
630,0.57,-7.45,-7.87
640,0.72,-7.51,-7.9
650,0.69,-7.57,-7.86
660,0.63,-7.75,-7.74
670,0.68,-8.07,-7.66
680,0.93,-8.31,-7.67
690,1.14,-8.46,-7.71
700,1.23,-8.48,-7.63
710,1.08,-8.47,-7.51
720,0.86,-8.58,-7.3
730,0.54,-8.82,-7.15
740,0.23,-8.96,-7.12
750,0.12,-8.87,-7.06
760,0.27,-8.73,-6.82
770,0.22,-8.65,-6.54
780,-0.09,-8.63,-6.32
790,-0.54,-8.52,-6.26
800,-0.82,-8.4,-6.29
810,-0.83,-8.24,-6.57
820,-0.71,-8.08,-6.62
830,-0.76,-8.04,-6.61
840,-0.94,-8.01,-6.71
850,-0.96,-7.85,-6.78
860,-1.04,-7.63,-6.74
870,-1.13,-7.43,-6.46
880,-1.24,-7.3,-6.26
890,-1.28,-7.17,-6.37
900,-1.39,-7.02,-6.59
910,-1.36,-6.83,-6.96
920,-1.41,-6.58,-7.15
930,-1.63,-6.21,-7.04
940,-1.08,-5.69,-7.08
950,-1.17,-5.28,-7.18
960,-0.7,-5.09,-7.36
970,-0.31,-4.9,-7.92
980,-0.33,-5.1,-8.36
990,-0.06,-5.34,-8.94
1000,0.7,-5.37,-9.38
