timestamp,x,y,z
0,2.38,-8.04,-5.89
10,2.41,-7.95,-5.51
20,2.19,-7.95,-5.53
30,2.41,-7.87,-5.87
40,2.78,-8.15,-6.09
50,2.95,-8.27,-6.21
60,3.04,-8.25,-6.32
70,2.84,-8.2,-6.27
80,2.75,-8.17,-6.1
90,2.8,-8.26,-6.04
100,2.66,-8.31,-5.92
110,2.56,-8.33,-5.99
120,2.62,-8.36,-5.95
130,2.75,-8.38,-5.88
140,2.83,-8.35,-5.88
150,2.63,-8.28,-5.86
160,2.53,-8.17,-5.89
170,2.54,-8.15,-5.92
180,2.51,-8.12,-5.84
190,2.53,-8.1,-5.77
200,2.52,-8.06,-5.69
210,2.52,-7.93,-5.62
220,2.39,-8.09,-5.7
230,2.29,-8.08,-5.65
240,2.48,-8.01,-5.75
250,2.33,-7.9,-5.67
260,2.26,-7.93,-5.79
270,2.44,-7.86,-5.81
280,2.61,-7.92,-5.84
290,2.62,-7.93,-5.88
300,2.63,-7.94,-5.93
310,2.6,-7.92,-5.97
320,2.55,-7.94,-5.93
330,2.55,-7.98,-5.88
340,2.61,-7.96,-5.9
350,2.66,-7.96,-5.94
360,2.68,-7.98,-5.99
370,2.65,-8.01,-5.92
380,2.57,-8.0,-5.88
390,2.56,-7.97,-5.83
400,2.6,-7.97,-5.78
410,2.73,-8.03,-5.88
420,2.87,-8.07,-5.99
430,2.83,-8.05,-6.02
440,2.77,-7.91,-6.07
450,2.77,-7.8,-6.07
460,2.8,-7.71,-5.93
470,2.81,-7.68,-5.85
480,2.84,-7.65,-5.85
490,2.92,-7.58,-5.95
500,3.03,-7.48,-6.08
510,3.06,-7.4,-6.13
520,3.17,-7.45,-6.09
530,3.23,-7.45,-6.05
540,3.23,-7.29,-6.1
550,3.28,-7.13,-6.14
560,3.31,-6.98,-6.02
570,3.33,-6.86,-5.92
580,3.43,-6.84,-5.97
590,3.56,-6.8,-6.1
600,3.57,-6.56,-6.4
610,3.56,-6.16,-6.8
620,3.51,-5.65,-7.12
630,3.51,-5.15,-7.45
640,3.62,-4.63,-7.85
650,3.81,-4.11,-8.24
660,4.3,-3.68,-8.6
670,4.96,-3.35,-8.73
680,5.51,-2.97,-8.85
690,6.15,-2.57,-9.06
700,6.96,-2.35,-9.37
710,7.72,-2.49,-9.44
720,8.1,-2.61,-9.38
730,8.42,-2.56,-9.15
740,8.59,-2.48,-9.0
750,8.97,-2.64,-8.79
760,8.96,-2.66,-8.57
770,9.13,-2.68,-8.35
780,9.19,-2.69,-8.24
790,9.03,-2.63,-7.84
800,9.05,-2.86,-7.71
810,9.31,-3.17,-7.51
820,9.8,-3.53,-7.49
830,9.97,-3.8,-7.49
840,9.73,-3.81,-7.79
850,9.15,-3.77,-8.07
860,9.42,-3.72,-8.58
870,9.64,-3.63,-8.68
880,10.1,-3.62,-8.78
890,9.56,-3.76,-7.39
900,9.22,-3.51,-7.07
910,8.69,-3.67,-6.56
920,8.43,-3.77,-6.35
930,8.48,-3.58,-6.32
940,8.6,-3.44,-6.65
950,8.55,-3.18,-6.82
960,8.92,-3.17,-6.76
970,9.36,-3.13,-7.27
980,9.27,-2.94,-7.6
990,9.31,-2.91,-8.32
1000,9.02,-3.06,-8.2
