timestamp,x,y,z
0,0.08,-6.34,-7.4
10,-0.03,-6.22,-7.28
20,0.41,-6.16,-7.2
30,1.39,-6.23,-6.96
40,2.0,-6.08,-6.51
50,2.32,-5.8,-6.28
60,2.49,-5.58,-6.28
70,2.43,-5.38,-6.53
80,2.31,-5.24,-6.97
90,2.47,-5.2,-7.42
100,2.9,-5.17,-7.87
110,3.51,-5.03,-8.14
120,4.03,-4.88,-8.35
130,4.41,-4.74,-8.43
140,4.58,-4.61,-8.45
150,4.67,-4.51,-8.43
160,4.77,-4.48,-8.34
170,4.88,-4.51,-8.27
180,4.94,-4.47,-8.16
190,5.04,-4.36,-8.15
200,5.3,-4.26,-8.34
210,5.58,-4.19,-8.49
220,5.8,-4.26,-8.67
230,5.93,-4.32,-8.9
240,6.09,-4.36,-9.28
250,6.05,-4.46,-9.41
260,6.03,-4.53,-9.52
270,6.14,-4.61,-9.42
280,6.17,-4.7,-9.17
290,6.58,-4.86,-8.87
300,7.09,-4.92,-8.37
310,7.35,-4.93,-8.04
320,8.14,-5.04,-7.78
330,9.18,-5.18,-8.3
340,9.9,-4.98,-8.62
350,9.76,-4.37,-8.9
360,9.67,-4.06,-9.16
370,8.49,-3.97,-8.49
380,7.85,-3.79,-8.32
390,7.05,-3.45,-7.13
400,7.31,-3.06,-6.86
410,8.29,-2.52,-6.31
420,7.96,-1.49,-6.42
430,7.58,-0.87,-6.13
440,7.64,-0.39,-5.73
450,7.48,-0.03,-5.42
460,8.03,0.33,-5.24
470,8.36,0.86,-5.49
480,8.17,1.58,-5.85
490,8.48,2.29,-6.34
500,8.35,2.93,-6.89
510,8.31,3.29,-7.23
520,8.72,3.78,-7.44
530,8.8,4.17,-7.73
540,8.77,4.37,-8.2
550,8.69,4.77,-8.72
560,8.8,5.28,-8.69
570,8.01,5.83,-8.69
580,7.65,5.88,-8.16
590,7.43,5.64,-7.88
600,7.39,5.25,-7.47
610,7.61,4.99,-7.18
620,7.66,4.86,-6.95
630,7.12,4.97,-6.86
640,6.59,5.15,-6.37
650,6.47,5.2,-5.64
660,6.55,5.15,-4.95
670,6.88,4.92,-4.51
680,7.35,4.67,-4.18
690,7.56,4.47,-3.92
700,7.68,4.23,-3.76
710,7.85,4.11,-3.88
720,7.69,4.19,-3.94
730,7.41,4.21,-4.05
740,7.31,4.09,-4.24
750,7.44,3.92,-4.42
760,7.57,3.8,-4.58
770,7.71,3.68,-4.85
780,8.01,3.69,-5.11
790,8.4,3.75,-5.49
800,8.7,3.62,-5.82
810,8.88,3.56,-6.01
820,9.01,3.59,-6.21
830,9.0,3.63,-6.27
840,8.95,3.79,-6.37
850,8.77,4.01,-6.35
860,8.77,4.34,-6.54
870,8.83,4.73,-6.73
880,8.78,5.05,-6.84
890,8.51,5.25,-6.97
900,8.03,5.39,-6.94
910,7.7,5.6,-6.92
920,7.57,5.54,-6.9
930,7.54,5.36,-7.01
940,7.61,5.21,-7.2
950,7.99,5.2,-7.48
960,7.94,4.94,-7.71
970,7.8,4.83,-7.96
980,7.66,4.56,-8.28
990,7.57,4.37,-8.58
1000,7.3,4.18,-8.65
