timestamp,x,y,z
0,0.49,-6.61,-7.07
10,1.06,-6.56,-7.11
20,1.42,-6.67,-7.06
30,1.72,-6.6,-7.16
40,1.74,-6.39,-7.12
50,1.54,-6.07,-7.32
60,1.22,-5.72,-7.63
70,0.82,-5.26,-7.95
80,0.84,-4.75,-8.4
90,0.95,-4.16,-8.91
100,1.13,-3.48,-9.68
110,1.36,-2.83,-10.33
120,2.01,-2.39,-10.75
130,2.8,-2.29,-10.96
140,3.51,-2.44,-11.06
150,3.97,-2.52,-11.09
160,4.46,-2.64,-11.11
170,5.0,-2.68,-11.22
180,5.28,-2.58,-10.94
190,5.31,-2.56,-10.95
200,5.32,-2.71,-10.62
210,5.33,-3.04,-10.19
220,5.31,-3.43,-9.8
230,5.36,-3.78,-9.55
240,5.65,-4.15,-9.17
250,6.26,-4.58,-8.94
260,6.9,-5.14,-8.63
270,7.09,-5.56,-8.51
280,6.72,-5.69,-8.43
290,6.25,-5.61,-8.53
300,6.21,-5.54,-8.69
310,6.49,-5.66,-8.82
320,7.04,-6.06,-8.92
330,7.94,-6.33,-9.07
340,8.54,-6.41,-9.13
350,8.39,-6.17,-9.11
360,8.29,-5.72,-9.23
370,8.48,-5.2,-9.47
380,8.1,-4.58,-9.5
390,7.84,-3.97,-9.05
400,7.52,-3.44,-8.96
410,6.74,-2.81,-9.08
420,6.02,-2.12,-8.59
430,5.25,-1.09,-8.1
440,4.42,0.34,-7.6
450,3.82,1.71,-7.56
460,3.62,2.35,-7.26
470,4.34,2.42,-6.79
480,4.59,2.6,-6.76
490,4.75,3.0,-7.06
500,4.03,4.04,-6.92
510,3.77,5.2,-6.47
520,3.34,6.13,-6.41
530,3.21,6.57,-6.54
540,3.99,6.68,-6.78
550,5.71,6.3,-7.24
560,6.7,6.56,-7.64
570,7.16,6.86,-7.83
580,7.01,7.13,-7.95
590,5.95,7.29,-7.82
600,5.72,7.06,-7.78
610,5.59,6.56,-7.9
620,5.62,5.96,-8.02
630,5.67,5.37,-8.37
640,5.58,4.84,-8.36
650,5.4,4.49,-8.02
660,5.08,4.3,-7.45
670,4.96,4.16,-7.11
680,4.96,4.01,-6.87
690,5.08,3.85,-6.81
700,5.18,3.73,-6.92
710,5.18,3.82,-6.97
720,5.17,4.05,-6.9
730,5.24,4.24,-6.85
740,5.29,4.34,-6.78
750,5.36,4.36,-6.76
760,5.45,4.36,-6.79
770,5.66,4.4,-6.96
780,5.82,4.45,-7.11
790,5.99,4.52,-7.23
800,6.15,4.62,-7.4
810,6.28,4.71,-7.7
820,6.36,4.73,-7.83
830,6.33,4.7,-7.86
840,6.21,4.6,-7.96
850,6.16,4.47,-7.97
860,6.36,4.36,-8.03
870,6.41,4.26,-8.05
880,6.46,4.23,-8.16
890,6.46,4.29,-8.2
900,6.52,4.34,-8.34
910,6.41,4.3,-8.26
920,6.08,4.33,-8.18
930,5.49,4.34,-8.13
940,5.04,4.43,-8.21
950,5.01,4.68,-8.15
960,5.07,4.92,-7.99
970,5.14,5.06,-8.14
980,5.07,5.14,-8.35
990,4.86,5.28,-8.67
1000,4.87,5.41,-8.98
